Barcode Number,Product Name, Price ,Type
397,Umbrella,15.89,Grocery
130,Bread,57.73,Chocolate
929,Eggs,54.58,Households
796,Hand Warmers,9.94,Seasonal
976,Plant Pots,89.09,Grocery
490,Broom,32.33,Households
191,Sunscreen,54.73,Chocolate
535,Garden Hose,90.18,Households
976,Chocolate Squares,81.52,Households
630,Dish Rack,82.99,Chocolate
309,Cheese,60.32,Seasonal
252,Cake,60.37,Chocolate
581,Noodles,58.48,Chocolate
536,Cups,53.78,Seasonal
291,Banana,44.48,Chocolate
859,Eggnog,94.1,Chocolate
184,Butter,98.31,Grocery
738,Cooler,67.32,Grocery
498,Extension Cord,85.04,Chocolate
851,Ice Cube Tray,37.08,Chocolate
183,Corn on the Cob,38.14,Chocolate
885,Holiday Lights,66.58,Grocery
534,Tent,97.8,Chocolate
332,Jam,92.37,Seasonal
810,Protein Bars,27.52,Chocolate
758,Charcoal,93.96,Seasonal
176,Orange,13.12,Seasonal
743,Dustpan,14.33,Grocery
364,Hot Chocolate,57.99,Grocery
292,Ketchup,72.56,Households
527,Gift Bags,13.26,Seasonal
425,Scarves,44.94,Households
240,Batteries,60.52,Chocolate
511,Grill Tongs,17.78,Chocolate
225,Lotion,1.1,Grocery
735,Cranberry Sauce,4.25,Households
673,Peanut Butter,35.48,Seasonal
230,Wrapping Paper,39.15,Seasonal
530,Fish,62.36,Grocery
579,Kitchen Towels,71.93,Households
700,Sponges,23.74,Seasonal
383,Sunglasses,64.39,Households
864,Graham Crackers,87.12,Households
735,Turkey,52.33,Grocery
139,Shampoo,86.79,Households
308,Beef,42.17,Grocery
215,Power Strip,33.45,Grocery
890,Cutting Board,93.75,Chocolate
633,Spoons,69.19,Households
928,Portable Heater,91.46,Chocolate
689,Sleeping Bag,29.07,Seasonal
292,Mop,61.37,Chocolate
293,Candies,68.01,Households
627,Napkins,61.01,Grocery
977,Plates,69.88,Grocery
550,BBQ Sauce,41.91,Grocery
115,Cereal Bars,79.6,Chocolate
687,Conditioner,61.65,Seasonal
256,Popsicles,94.61,Seasonal
384,Mayonnaise,85.71,Seasonal
586,Grill Cleaner,33.22,Grocery
300,Inflatable Pool,31.37,Households
203,Seeds,31.41,Grocery
286,Rain Boots,75.4,Chocolate
223,Paper Towels,8.48,Households
886,Apple,21.96,Grocery
396,Snow Shovel,6.35,Grocery
315,Soap,39.53,Chocolate
490,Light Bulbs,59.6,Chocolate
654,Soup,15.73,Seasonal
352,Picnic Basket,92.34,Seasonal
762,Pumpkin Pie,49,Chocolate
811,Stuffing,25.36,Grocery
482,Camping Stove,10.97,Households
473,Cookies,61.88,Chocolate
708,Winter Gloves,62.3,Grocery
233,Honey,63.8,Chocolate
746,Chicken,38.97,Seasonal
774,Beach Ball,7.76,Households
805,Toothpaste,11.71,Households
734,Flashlight,41.45,Chocolate
913,Toothbrush,71.52,Households
230,Energy Drinks,52.06,Households
420,Milk,31.85,Households
526,Picnic Blanket,66.46,Grocery
865,Deodorant,49.12,Households
530,Hand Sanitizer,53.62,Chocolate
642,Gravy,43.88,Seasonal
752,Chips,88.91,Grocery
221,Fertilizer,45.74,Seasonal
911,Bleach,12.93,Grocery
859,Ice Cream,16.88,Chocolate
694,Forks,26.09,Chocolate
716,Knives,96.77,Seasonal
236,Window Cleaner,10.1,Grocery
508,Grapes,44.72,Chocolate
201,Bowls,23.59,Seasonal
667,Watermelon,69.95,Seasonal
784,Tea Bags,60.81,Grocery
181,Muffins,44.82,Chocolate
543,toffie,23.99,food
999,Project,24.22,doc
